price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,PriceCategory
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
113990,18,7,3,2,13.6,4.7,50.0,3.0,2
74990,9,0,1,0,14.0,4.5,1266.0,172.0,2
89990,13,0,1,0,15.6,4.5,174.0,22.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
41990,1,1,1,0,14.0,4.2,3572.0,327.0,1
63990,0,6,1,0,14.0,4.6,25.0,1.0,2
86990,9,11,0,0,13.4,4.7,6.0,1.0,2
61990,11,0,1,0,14.0,5.0,3.0,1.0,2
88990,13,0,1,0,17.3,4.7,13.0,1.0,2
249990,21,9,0,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
129990,13,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
294990,19,9,1,4,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
61990,13,0,1,0,15.6,4.4,1087.0,131.0,2
76990,13,1,1,0,15.6,4.5,374.0,46.0,2
104990,5,0,3,2,13.3,4.7,719.0,83.0,2
78990,0,0,1,0,15.6,4.4,41.0,3.0,2
63990,0,1,1,0,15.6,4.1,187.0,16.0,2
107990,15,4,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
76999,9,12,0,0,15.6,4.5,97.0,10.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
68990,9,0,1,0,15.6,4.6,11.0,1.0,2
57990,9,1,1,0,15.6,4.3,3065.0,354.0,2
95990,15,4,1,3,15.6,4.5,136.0,16.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
105990,15,0,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
82990,9,0,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
78990,0,0,1,0,15.6,4.4,41.0,3.0,2
59990,0,1,4,0,14.0,4.4,7200.0,967.0,2
61400,9,0,1,0,14.0,4.2,1346.0,124.0,2
37990,2,6,1,0,14.0,4.2,713.0,103.0,1
77070,9,0,1,0,14.0,4.4,27.0,3.0,2
56990,9,1,0,0,14.0,4.3,18.0,1.0,2
56990,11,0,1,0,15.6,4.4,5533.0,674.0,2
42490,1,1,0,1,15.6,4.2,440.0,40.0,1
95990,10,0,4,5,15.6,4.5,473.0,71.0,2
44290,1,1,1,0,15.6,3.1,15.0,3.0,1
63550,11,0,1,0,14.0,4.4,218.0,19.0,2
119990,19,0,1,3,15.6,4.4,29.0,8.0,2
129990,5,0,3,0,13.3,4.7,719.0,83.0,2
161990,23,4,1,3,15.6,3.8,5.0,1.0,2
47990,0,11,1,0,15.6,4.5,6.0,1.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
73990,11,0,4,0,15.6,4.5,52.0,9.0,2
307990,24,13,3,3,16.2,4.3,13.0,5.0,2
45990,12,1,0,0,15.6,3.9,16.0,0.0,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
27990,6,1,1,2,15.6,4.0,108.0,11.0,0
